Country,Current_Weather,Current_Temperature(F),Date
Benin,Thunderstorms. Passing clouds.,81,04/04/2023
Burkina-Faso,Scattered clouds.,88,04/04/2023
Cote-Divoire,Passing clouds.,77,04/04/2023
Cape-Verde,Passing clouds.,73,04/04/2023
Gambia,Clear.,75,04/04/2023
Ghana,Passing clouds.,81,04/04/2023
Guinea,Passing clouds.,82,04/04/2023
Guinea-Bissau,Clear.,73,04/04/2023
Liberia,Passing clouds.,75,04/04/2023
Mali,Clear.,77,04/04/2023
Mauritania,Clear.,77,04/04/2023
Niger,Clear.,82,04/04/2023
Nigeria,Overcast.,84,04/04/2023
Senegal,Fog.,73,04/04/2023
Sierra-Leone,Passing clouds.,79,04/04/2023
Togo,Thunderstorms. Passing clouds.,77,04/04/2023
Benin,Passing clouds.,82,06/04/2023
Burkina-Faso,Scattered clouds.,88,06/04/2023
Cote-Divoire,Thunderstorms. Overcast.,81,06/04/2023
Cape-Verde,Passing clouds.,70,06/04/2023
Gambia,Clear.,72,06/04/2023
Ghana,Passing clouds.,82,06/04/2023
Guinea,Clear.,79,06/04/2023
Guinea-Bissau,Clear.,73,06/04/2023
Liberia,Passing clouds.,77,06/04/2023
Mali,Clear.,82,06/04/2023
Mauritania,Clear.,77,06/04/2023
Niger,Clear.,91,06/04/2023
Nigeria,Overcast.,81,06/04/2023
Senegal,Clear.,72,06/04/2023
Sierra-Leone,Clear.,79,06/04/2023
Togo,Passing clouds.,82,06/04/2023
Benin,Scattered clouds.,90,07/04/2023
Burkina-Faso,Passing clouds.,85,07/04/2023
Cote-Divoire,Overcast.,91,07/04/2023
Cape-Verde,Passing clouds.,80,07/04/2023
Gambia,Sunny.,93,07/04/2023
Ghana,Passing clouds.,88,07/04/2023
Guinea,Scattered clouds.,90,07/04/2023
Guinea-Bissau,Clear.,97,07/04/2023
Liberia,Thunderstorms. Partly sunny.,82,07/04/2023
Mali,Passing clouds.,100,07/04/2023
Mauritania,Sunny.,91,07/04/2023
Niger,Sunny.,108,07/04/2023
Nigeria,Overcast.,96,07/04/2023
Senegal,Sunny.,77,07/04/2023
Sierra-Leone,Passing clouds.,84,07/04/2023
Togo,Passing clouds.,90,07/04/2023
Benin,Scattered clouds.,90,08/04/2023
Burkina-Faso,Partly sunny.,92,08/04/2023
Cote-Divoire,Thunderstorms. Passing clouds.,79,08/04/2023
Cape-Verde,Passing clouds.,71,08/04/2023
Gambia,Sunny.,82,08/04/2023
Ghana,Scattered clouds.,88,08/04/2023
Guinea,Sunny.,88,08/04/2023
Guinea-Bissau,Clear.,88,08/04/2023
Liberia,Partly sunny.,86,08/04/2023
Mali,Sunny.,93,08/04/2023
Mauritania,Sunny.,82,08/04/2023
Niger,Clear.,102,08/04/2023
Nigeria,Overcast.,89,08/04/2023
Senegal,Passing clouds.,75,08/04/2023
Sierra-Leone,Clear.,82,08/04/2023
Togo,Passing clouds.,90,08/04/2023
Benin,Passing clouds.,88,09/04/2023
Burkina-Faso,Partly sunny.,86,09/04/2023
Cape-Verde,Passing clouds.,70,09/04/2023
Cote-Divoire,Overcast.,81,09/04/2023
Gambia,Sunny.,84,09/04/2023
Ghana,Passing clouds.,82,09/04/2023
Guinea,Passing clouds.,86,09/04/2023
Guinea-Bissau,Passing clouds.,86,09/04/2023
Liberia,Thunderstorms. Partly sunny.,86,09/04/2023
Mali,Passing clouds.,95,09/04/2023
Mauritania,Sunny.,82,09/04/2023
Niger,Sunny.,99,09/04/2023
Nigeria,Overcast.,82,09/04/2023
Senegal,Sunny.,75,09/04/2023
Sierra-Leone,Partly sunny.,81,09/04/2023
Togo,Passing clouds.,81,09/04/2023
Benin,Scattered clouds.,90,10/04/2023
Burkina-Faso,Scattered clouds.,88,10/04/2023
Cape-Verde,Scattered clouds.,76,10/04/2023
Cote-Divoire,Overcast.,78,10/04/2023
Gambia,Sunny.,82,10/04/2023
Ghana,Partly sunny.,88,10/04/2023
Guinea,Partly sunny.,86,10/04/2023
Guinea-Bissau,Clear.,91,10/04/2023
Liberia,Partly sunny.,90,10/04/2023
Mali,Passing clouds.,97,10/04/2023
Mauritania,Sunny.,82,10/04/2023
Niger,Clear.,102,10/04/2023
Nigeria,Overcast.,83,10/04/2023
Senegal,Scattered clouds.,73,10/04/2023
Sierra-Leone,Scattered clouds.,84,10/04/2023
Togo,Passing clouds.,90,10/04/2023
Benin,Scattered clouds.,90,11/04/2023
Burkina-Faso,Overcast.,86,11/04/2023
Cape-Verde,Passing clouds.,69,11/04/2023
Cote-Divoire,Partly sunny.,83,11/04/2023
Gambia,Sunny.,88,11/04/2023
Ghana,Scattered clouds.,88,11/04/2023
Guinea,Passing clouds.,88,11/04/2023
Guinea-Bissau,Clear.,90,11/04/2023
Liberia,Partly sunny.,90,11/04/2023
Mali,Clear.,97,11/04/2023
Mauritania,Sunny.,75,11/04/2023
Niger,Low level haze.,102,11/04/2023
Nigeria,Overcast.,83,11/04/2023
Senegal,Partly sunny.,72,11/04/2023
Sierra-Leone,Passing clouds.,84,11/04/2023
Togo,Scattered clouds.,90,11/04/2023
Benin,Scattered clouds.,90,12/04/2023
Burkina-Faso,Scattered clouds.,85,12/04/2023
Cape-Verde,Passing clouds.,69,12/04/2023
Cote-Divoire,Overcast.,82,12/04/2023
Gambia,Sunny.,88,12/04/2023
Ghana,Hot.,90,12/04/2023
Guinea,Scattered clouds.,88,12/04/2023
Guinea-Bissau,Clear.,93,12/04/2023
Liberia,Partly sunny.,76,12/04/2023
Mali,Passing clouds.,97,12/04/2023
Mauritania,Sunny.,86,12/04/2023
Niger,Low level haze.,104,12/04/2023
Nigeria,Overcast.,87,12/04/2023
Senegal,Passing clouds.,75,12/04/2023
Sierra-Leone,Scattered clouds.,88,12/04/2023
Togo,Passing clouds.,86,12/04/2023
Benin,Scattered clouds.,91,13/04/2023
Burkina-Faso,Scattered clouds.,86,13/04/2023
Cape-Verde,Passing clouds.,79,13/04/2023
Cote-Divoire,Scattered clouds.,83,13/04/2023
Gambia,Sunny.,84,13/04/2023
Ghana,Scattered clouds.,90,13/04/2023
Guinea,Passing clouds.,86,13/04/2023
Guinea-Bissau,Clear.,88,13/04/2023
Liberia,Overcast.,78,13/04/2023
Mali,Passing clouds.,97,13/04/2023
Mauritania,Sunny.,82,13/04/2023
Niger,Clear.,102,13/04/2023
Nigeria,Overcast.,89,13/04/2023
Senegal,Sunny.,75,13/04/2023
Sierra-Leone,Partly sunny.,82,13/04/2023
Togo,Scattered clouds.,90,13/04/2023
Benin,Scattered clouds.,90,14/04/2023
Burkina-Faso,Scattered clouds.,87,14/04/2023
Cape-Verde,Scattered clouds.,84,14/04/2023
Cote-Divoire,Overcast.,76,14/04/2023
Gambia,Sunny.,100,14/04/2023
Ghana,Sunny.,88,14/04/2023
Guinea,Passing clouds.,86,14/04/2023
Guinea-Bissau,Clear.,93,14/04/2023
Liberia,Fog.,77,14/04/2023
Mali,Passing clouds.,100,14/04/2023
Mauritania,Sunny.,97,14/04/2023
Niger,Clear.,99,14/04/2023
Nigeria,Overcast.,89,14/04/2023
Senegal,Sunny.,79,14/04/2023
Sierra-Leone,Scattered clouds.,81,14/04/2023
Togo,Passing clouds.,91,14/04/2023
Benin,Partly sunny.,91,15/04/2023
Burkina-Faso,Overcast.,86,15/04/2023
Cape-Verde,Passing clouds.,80,15/04/2023
Cote-Divoire,Scattered clouds.,82,15/04/2023
Gambia,Sunny.,93,15/04/2023
Ghana,Scattered clouds.,88,15/04/2023
Guinea,Sunny.,88,15/04/2023
Guinea-Bissau,Clear.,91,15/04/2023
Liberia,Overcast.,78,15/04/2023
Mali,Passing clouds.,95,15/04/2023
Mauritania,Sunny.,100,15/04/2023
Niger,Duststorm.,106,15/04/2023
Nigeria,Overcast.,90,15/04/2023
Senegal,Sunny.,79,15/04/2023
Sierra-Leone,Partly sunny.,84,15/04/2023
Togo,Scattered clouds.,91,15/04/2023
Benin,Passing clouds.,88,16/04/2023
Burkina-Faso,Partly sunny.,87,16/04/2023
Cape-Verde,Passing clouds.,80,16/04/2023
Cote-Divoire,Overcast.,81,16/04/2023
Gambia,Clear.,91,16/04/2023
Ghana,Passing clouds.,90,16/04/2023
Guinea,Sunny.,90,16/04/2023
Guinea-Bissau,Clear.,91,16/04/2023
Liberia,Overcast.,75,16/04/2023
Mali,Passing clouds.,97,16/04/2023
Mauritania,Sunny.,99,16/04/2023
Niger,Sunny.,104,16/04/2023
Nigeria,Overcast.,85,16/04/2023
Senegal,Sunny.,79,16/04/2023
Sierra-Leone,Scattered clouds.,82,16/04/2023
Togo,Passing clouds.,90,16/04/2023
Benin,Passing clouds.,88,17/04/2023
Burkina-Faso,Partly sunny.,86,17/04/2023
Cape-Verde,Clear.,73,17/04/2023
Cote-Divoire,Overcast.,78,17/04/2023
Gambia,Sunny.,95,17/04/2023
Ghana,Passing clouds.,84,17/04/2023
Guinea,Passing clouds.,88,17/04/2023
Guinea-Bissau,Clear.,88,17/04/2023
Liberia,Partly sunny.,88,17/04/2023
Mali,Passing clouds.,100,17/04/2023
Mauritania,Sunny.,95,17/04/2023
Niger,Clear.,100,17/04/2023
Nigeria,Overcast.,81,17/04/2023
Senegal,Sunny.,73,17/04/2023
Sierra-Leone,Scattered clouds.,81,17/04/2023
Togo,Passing clouds.,86,17/04/2023
Benin,Scattered clouds.,91,18/04/2023
Burkina-Faso,Passing clouds.,91,18/04/2023
Cape-Verde,Passing clouds.,72,18/04/2023
Cote-Divoire,Partly sunny.,82,18/04/2023
Gambia,Sunny.,91,18/04/2023
Ghana,Passing clouds.,88,18/04/2023
Guinea,Partly sunny.,88,18/04/2023
Guinea-Bissau,Clear.,91,18/04/2023
Liberia,Scattered clouds.,90,18/04/2023
Mali,Passing clouds.,100,18/04/2023
Mauritania,Sunny.,86,18/04/2023
Niger,Sunny.,106,18/04/2023
Nigeria,Overcast.,84,18/04/2023
Senegal,Sunny.,73,18/04/2023
Sierra-Leone,Partly sunny.,81,18/04/2023
Togo,Scattered clouds.,88,18/04/2023
Benin,Thunderstorms. Broken clouds.,73,19/04/2023
Burkina-Faso,Partly sunny.,88,19/04/2023
Cape-Verde,Passing clouds.,71,19/04/2023
Cote-Divoire,Partly sunny.,84,19/04/2023
Gambia,Sunny.,90,19/04/2023
Ghana,Passing clouds.,91,19/04/2023
Guinea,Partly sunny.,90,19/04/2023
Guinea-Bissau,Clear.,93,19/04/2023
Liberia,Partly sunny.,90,19/04/2023
Mali,Sunny.,99,19/04/2023
